# Item definition file for Jedi Knight Missions

####################################################
#                                                  #
# Note that things aren't always in numeric order, #
# so be careful when making new assignments - rf   #
#                                                  #
####################################################

# ========================================================================================
# name                  id              min     max     flags   args
# ========================================================================================

###########
# Weapons #
###########

# ========================================================================================
none                    120             0       0       0x004

fists                   121             0       1       0x024   cog=weap_fists_m.cog
bryar_pistol            122             0       1       0x0a4   cog=weap_bryar_m.cog
stormtrooper_rifle      123             0       1       0x0a4   cog=weap_strifle_m.cog
thermal_detonator       124             0       30      0x0a4   cog=weap_thermdet_m.cog
para_EWEB               125             0       0       0x0a4   cog=weap_empty_m.cog
repeater                126             0       1       0x0a4   cog=weap_repeater_m.cog
rail_detonator          127             0       1       0x0a4   cog=weap_raildet_m.cog
sequencer_charge        128             0       30      0x0a4   cog=weap_seqcharge_m.cog
concussion_rifle        129             0       1       0x0a4   cog=weap_concrifle_m.cog
EWEB                    130             0       32000   0x0b4   cog=weap_EWEB_m.cog

lightsaber              131             0       1       0x0a4   cog=weap_saber_m.cog
blastech                132             0       1       0x0a4   cog=weap_blastech_m.cog
stormtrooper_scope      133             0       1       0x0a4   cog=weap_stscope_m.cog
flash_bomb              134             0       30      0x0a4   cog=weap_flash_m.cog
tusken_prod             135             0       1       0x0a4   cog=weap_crossbow_m.cog
para_repeater           136             0       0       0x0a4   cog=weap_empty_m.cog
rail_seeker             137             0       1       0x0a4   cog=weap_railseek_m.cog
manual_sequencer        138             0       30      0x0a4   cog=weap_manseq_m.cog
para_concussion         139             0       0       0x0a4   cog=weap_empty_m.cog
carbo_gun               140             0       1       0x0a4   cog=weap_carbgun_m.cog

# ========================================================================================


###################
# Ammo and Energy #
###################

# ========================================================================================
#energy is used for bryar pistol and stormtrooper rifle.
energy                  11              0       500     0x080

#power is used for the the bowcaster, repeater and concussion rifle.
power                   12              0       500     0x080

#battery is used for other inventory items.
battery                 13              0       200     0x020

#force is used for the force powers.
forcemana               14              0       400     0x000

#rail charges
railcharges             15              0       30      0x080

#carbonite pellets
carbpellets             90              0       20      0x080

#seeking rail detonators
seekrails               91              0       30      0x080

#EWEB Rounds (what it says...)
EWEB_rounds             92              0       800     0x000
# ========================================================================================


###########
# Bonuses #
###########

#new force stars gained in a level.
new_stars               16              0       32      0x000

#spendable stars
spend_stars             17              0       32      0x000

#total number of stars.
total_stars             18              0       32      0x000


###############
#Force Defense#
###############

f_defense               19              0      4.0      0x018     cog=force_defense.cog


##############
#Force Powers#
##############

# Note that the icon names are taken from these names:
# ========================================================================================
jedi_rank               20              0       8.0     0x000    cog=force_well.cog
# ........................................................................................

f_jump                  21              0       4.0     0x108    cog=force_jump.cog
f_speed                 22              0       4.0     0x108    cog=force_speed.cog
f_seeing                23              0       4.0     0x108    cog=force_seeing.cog
f_pull                  24              0       4.0     0x108    cog=force_pull.cog

f_healing               25              0       4.0     0x108    cog=force_heal.cog
f_persuasion            26              0       4.0     0x108    cog=force_persuasion.cog
f_blinding              27              0       4.0     0x108    cog=force_blinding.cog
f_absorb                28              0       4.0     0x118    cog=force_absorb.cog
f_protection            29              0       4.0     0x118    cog=force_protection.cog

#f_throw                 30              0       4.0     0x008    cog=force_throw.cog
f_grip                  31              0       4.0     0x108    cog=force_grip.cog
#f_lightning             32              0       4.0     0x008    cog=force_lightning.cog
f_destruction           33              0       4.0     0x108    cog=force_destruction.cog
f_deadlysight           34              0       4.0     0x108    cog=force_deadlysight.cog

# ........................................................................................

f_farsight              35              0       4.0     0x108    cog=force_farsight.cog
f_prject                36              0       4.0     0x108    cog=force_project.cog
f_saberthrow            37              0       4.0     0x108    cog=force_saberthrow.cog
f_push                  38              0       4.0     0x108    cog=force_push.cog
f_chainlight            39              0       4.0     0x108    cog=force_chainlight.cog

# ========================================================================================

#################
#Inventory Items#
#################

# Note that the icon names are taken from these names:
#
# The first 5 letters of the item name become the third through seventh
# letter of the icon filename.  i.e. "wrench" becomes "icwrenc8.bm" and
# "icwrenc16.bm".
# ========================================================================================
bactatank               40              0       5       0x102   cog=item_bacta.cog
irgoggles               41              0       1       0x102   cog=item_irgoggles.cog
fieldlight              42              1       1       0x122   cog=item_fieldlight.cog
keyimperial             43              0       1       0x042   cog=item_keyimperial.cog
wrench                  44              0       1       0x042   cog=item_wrench.cog
datadisk                45              0       1       0x042   cog=item_datadisk.cog
keyred                  46              0       1       0x042   cog=item_keyred.cog
keyblue                 47              0       1       0x042   cog=item_keyblue.cog
keyyellow               48              0       1       0x042   cog=item_keyyellow.cog
wrchblue                49              0       1       0x042   cog=item_wrenchblue.cog
wrchyellow              50              0       1       0x042   cog=item_wrenchyellow.cog
keygreen                51              0       1       0x042   cog=item_keygreen.cog
tsknclothes             52              0       1       0x002   cog=item_tusken_clothes.cog
hvyexplosive            53              0       1       0x002   cog=item_heavy_explosive.cog
hlcrn                   54              0       1       0x002   cog=item_holocron.cog
drarm                   55              0       1       0x042   cog=item_droidarm.cog
prybar                  56              0       1       0x042   cog=item_prybar.cog
radio                   57              0       1       0x042   cog=item_radio.cog

# ========================================================================================



#####################
# Player Statistics #
#####################

# ========================================================================================
